bad_reward,depth,update_rule,event_round,prior_good_traversals,paired_seeds,true_safe_value,true_risky_value,final_lock_probability,final_lock_ci_low,final_lock_ci_high,ever_demoted_probability,ever_demoted_ci_low,ever_demoted_ci_high,mean_first_demotion_delay,mean_post_event_risky_visits,mean_final_start_value,exact_full_return_lock_probability,mc_minus_exact_if_depth_one
-5.0,1,constant_alpha,112,112,20000,0.9,1.0,0.99915,0.9986390788900333,0.9994692115151574,1.0,0.9998079639438954,0.9999999999999999,0.0,4.09465,0.47178834487400356,0.9992884215135158,-0.00013842151351584064
-5.0,1,sample_average,116,116,20000,0.9,1.0,0.0,0.0,0.00019203605610462553,0.0,0.0,0.00019203605610462553,,79.25485,0.969424731720538,0.0,0.0
-5.0,1,constant_alpha,116,116,20000,0.9,1.0,0.99975,0.9994148495964674,0.9998932103654561,1.0,0.9998079639438954,0.9999999999999999,0.0,3.7507,0.43565320349623615,0.9996876916439007,6.230835609932761e-05
-5.0,1,sample_average,120,120,20000,0.9,1.0,0.0,0.0,0.00019203605610462553,0.0,0.0,0.00019203605610462553,,75.5977,0.9694783068884555,0.0,0.0
-5.0,1,constant_alpha,120,120,20000,0.9,1.0,0.9998,0.9994858195143681,0.9999222212439498,1.0,0.9998079639438954,0.9999999999999999,0.0,3.40475,0.3952002007891409,0.9998721924478345,-7.219244783451817e-05
-5.0,1,sample_average,124,124,20000,0.9,1.0,0.0,0.0,0.00019203605610462553,0.0,0.0,0.00019203605610462553,,71.90365,0.9695259426446926,0.0,0.0
-5.0,1,constant_alpha,124,124,20000,0.9,1.0,0.99985,0.9995590363727073,0.999948985182005,1.0,0.9998079639438954,0.9999999999999999,0.0,3.0995,0.356307042253243,0.9999515191580883,-0.00010151915808831458
-5.0,1,sample_average,128,128,20000,0.9,1.0,0.0,0.0,0.00019203605610462553,0.0,0.0,0.00019203605610462553,,68.2154,0.9695743484911734,0.0,0.0
-5.0,1,constant_alpha,128,128,20000,0.9,1.0,1.0,0.9998079639438954,0.9999999999999999,1.0,0.9998079639438954,0.9999999999999999,0.0,2.7846,0.31455188342702084,0.9999830707662449,1.6929233755069717e-05
-5.0,1,sample_average,132,132,20000,0.9,1.0,0.0,0.0,0.00019203605610462553,0.0,0.0,0.00019203605610462553,,64.49735,0.969618009794514,0.0,0.0
-5.0,1,constant_alpha,132,132,20000,0.9,1.0,1.0,0.9998079639438954,0.9999999999999999,1.0,0.9998079639438954,0.9999999999999999,0.0,2.50265,0.2748978670882816,0.9999946017529044,5.39824709555603e-06
-5.0,1,sample_average,136,136,20000,0.9,1.0,0.0,0.0,0.00019203605610462553,0.0,0.0,0.00019203605610462553,,60.76345,0.9696590486073048,0.0,0.0
-5.0,1,constant_alpha,136,136,20000,0.9,1.0,1.0,0.9998079639438954,0.9999999999999999,1.0,0.9998079639438954,0.9999999999999999,0.0,2.23655,0.23410708079411205,0.9999984431073005,1.5568926995390697e-06
-5.0,1,sample_average,140,140,20000,0.9,1.0,0.0,0.0,0.00019203605610462553,0.0,0.0,0.00019203605610462553,,57.03265,0.9697005024691733,0.0,0.0
-5.0,1,constant_alpha,140,140,20000,0.9,1.0,1.0,0.9998079639438954,0.9999999999999999,1.0,0.9998079639438954,0.9999999999999999,0.0,1.96735,0.19163980844032003,0.9999995985201069,4.0147989310845844e-07
-5.0,1,sample_average,144,144,20000,0.9,1.0,0.0,0.0,0.00019203605610462553,0.0,0.0,0.00019203605610462553,,53.2587,0.9697352150673604,0.0,0.0
-5.0,1,constant_alpha,144,144,20000,0.9,1.0,1.0,0.9998079639438954,0.9999999999999999,1.0,0.9998079639438954,0.9999999999999999,0.0,1.7413,0.153989065216,0.9999999087158076,9.128419242721009e-08
-5.0,1,sample_average,148,148,20000,0.9,1.0,0.0,0.0,0.00019203605610462553,0.0,0.0,0.00019203605610462553,,49.49755,0.969771808744115,0.0,0.0
-5.0,1,constant_alpha,148,148,20000,0.9,1.0,1.0,0.9998079639438954,0.9999999999999999,1.0,0.9998079639438954,0.9999999999999999,0.0,1.50245,0.11237540902912004,0.9999999820132695,1.7986730549424124e-08
-5.0,1,sample_average,150,150,20000,0.9,1.0,0.0,0.0,0.00019203605610462553,0.0,0.0,0.00019203605610462553,,47.6132,0.9697894915757442,0.0,0.0
-5.0,1,constant_alpha,150,150,20000,0.9,1.0,1.0,0.9998079639438954,0.9999999999999999,1.0,0.9998079639438954,0.9999999999999999,0.0,1.3868,0.09137922534400005,0.9999999924827215,7.517278466373511e-09
-5.0,1,sample_average,152,152,20000,0.9,1.0,0.0,0.0,0.00019203605610462553,0.0,0.0,0.00019203605610462553,,45.71655,0.9698052900678217,0.0,0.0
-5.0,1,constant_alpha,152,152,20000,0.9,1.0,1.0,0.9998079639438954,0.9999999999999999,1.0,0.9998079639438954,0.9999999999999999,0.0,1.28345,0.07255938764800005,0.999999996994613,3.0053870503365943e-09
-5.0,1,sample_average,156,156,20000,0.9,1.0,0.0,0.0,0.00019203605610462553,0.0,0.0,0.00019203605610462553,,41.90285,0.9698337111451875,0.0,0.0
-5.0,1,constant_alpha,156,156,20000,0.9,1.0,1.0,0.9998079639438954,0.9999999999999999,1.0,0.9998079639438954,0.9999999999999999,0.0,1.09715,0.03724621158400004,0.9999999995858807,4.1411929441181883e-10
-5.0,1,sample_average,160,160,20000,0.9,1.0,0.0,0.0,0.00019203605610462553,0.0,0.0,0.00019203605610462553,,38.07955,0.96986060066584,0.0,0.0
-5.0,1,constant_alpha,160,160,20000,0.9,1.0,1.0,0.9998079639438954,0.9999999999999999,1.0,0.9998079639438954,0.9999999999999999,0.0,0.92045,0.0020262906880000394,0.9999999999546405,4.535949393869032e-11
-5.0,1,sample_average,164,164,20000,0.9,1.0,0.0,0.0,0.00019203605610462553,0.0,0.0,0.00019203605610462553,,34.24135,0.9698852099248435,0.0,0.0
